forward,theta,analytic_delta,recovered_delta,delta_absolute_error,analytic_gamma,recovered_gamma,gamma_absolute_error
0.00127777777778,0.0255499944058,0.0434640119395,0.0434640139372,1.99766014841e-09,6.55634262496,6.55634263073,5.7771130102e-09
0.00188888888889,0.0377598215005,0.0476217596234,0.0476217617502,2.12679349132e-09,7.05474943653,7.05474955113,1.14604751467e-07
0.0025,0.0499583957219,0.0520912486202,0.0520912508811,2.26090038358e-09,7.57654369178,7.5765438945,2.02720356057e-07
0.00311111111111,0.0621421082875,0.0568866761583,0.0568866785588,2.40045594513e-09,8.12138794655,8.12138799279,4.62432048209e-08
0.00372222222222,0.0743073768408,0.0620219843401,0.0620219868845,2.5444010579e-09,8.68878332458,8.68878334723,2.26439613726e-08
0.00433333333333,0.0864506516874,0.0675107590958,0.0675107617887,2.69293197463e-09,9.27806186177,9.27806193539,7.36220009401e-08
0.00494444444444,0.0985684218866,0.0733661247962,0.0733661276422,2.84601549272e-09,9.88837997831,9.88838015314,1.74834271505e-07
0.00555555555556,0.110657221174,0.0796006352604,0.0796006382633,3.00293326316e-09,10.518713235,10.518713281,4.60889051368e-08
0.00616666666667,0.12271363369,0.0862261619897,0.0862261651534,3.1637190645e-09,11.1678525223,11.1678526984,1.76106206951e-07
0.00677777777778,0.134734299494,0.093253780546,0.0932537838736,3.32768518296e-09,11.8344018222,11.8344019304,1.08185632897e-07
0.00738888888889,0.146715919837,0.100693656075,0.10069365957,3.4947390537e-09,12.5167776686,12.5167778729,2.04315414365e-07
0.008,0.158655262186,0.10855492905,0.108554932715,3.66420899178e-09,13.2132104173,13.2132106691,2.51775624349e-07
0.00861111111111,0.170549164966,0.116845602365,0.116845606201,3.8356704618e-09,13.9217474198,13.921747642,2.22257845905e-07
0.00922222222222,0.182394542017,0.125572430969,0.125572434978,4.00842220527e-09,14.6402581711,14.6402583444,1.73237216572e-07
0.00983333333333,0.194188386754,0.134740815268,0.13474081945,4.18195189589e-09,15.3664414834,15.3664413986,8.4802474376e-08
0.0104444444444,0.205927776007,0.144354699526,0.144354703882,4.35547339861e-09,16.0978347062,16.0978348991,1.92931377541e-07
0.0110555555556,0.217609873547,0.154416476539,0.154416481067,4.52846271592e-09,16.8318249946,16.8318250898,9.52129468601e-08
0.0116666666667,0.229231933277,0.164926899799,0.164926904499,4.70007888165e-09,17.5656625906,17.5656627065,1.1591533422e-07
0.0122777777778,0.2407913021,0.175885004391,0.17588500926,4.86963150359e-09,18.2964760614,18.2964761851,1.23724991141e-07
0.0128888888889,0.252285422444,0.187288037764,0.1872880428,5.03580649402e-09,19.021289402,19.021289575,1.72991814651e-07
0.0135,0.263711834462,0.199131401504,0.199131406702,5.19848830649e-09,19.7370408863,19.7370408921,5.74433300926e-09
0.0141111111111,0.275068177891,0.211408605117,0.211408610473,5.35602476259e-09,20.4406035169,20.4406036175,1.00586657226e-07
0.0147222222222,0.286352193588,0.224111232761,0.224111238269,5.50819737044e-09,21.1288068989,21.1288069623,6.33364116709e-08
0.0153333333333,0.297561724738,0.237228923721,0.237228929374,5.65373775574e-09,21.7984603368,21.7984604782,1.41361763184e-07
0.0159444444444,0.308694717751,0.250749367324,0.250749373116,5.7919868901e-09,22.4463769276,22.4463768936,3.39779333558e-08
0.0165555555556,0.319749222846,0.264658312817,0.264658318738,5.92154031365e-09,23.0693984042,23.0693985054,1.0119142857e-07
0.0171666666667,0.33072339434,0.278939594582,0.278939600625,6.04212263555e-09,23.6644204637,23.6644204429,2.07595221013e-08
0.0177777777778,0.341615490648,0.293575172921,0.293575179074,6.1526420625e-09,24.2284183003,24.2284183616,6.12851351889e-08
0.0183888888889,0.352423874008,0.308545190419,0.308545196671,6.25206436622e-09,24.7584720529,24.7584721565,1.03505652049e-07
0.019,0.363147009946,0.323828043765,0.323828050105,6.33978070042e-09,25.2517918694,25.2517918813,1.19298775303e-08
0.0196111111111,0.373783466491,0.339400470693,0.339400477108,6.41502512222e-09,25.7057422881,25.7057423945,1.06388817755e-07
0.0202222222222,0.384331913156,0.355237651541,0.355237658018,6.47698761291e-09,26.1178656406,26.1178656834,4.27840980421e-08
0.0208333333333,0.3947911197,0.371313324738,0.371313331263,6.52548409752e-09,26.4859041838,26.4859043069,1.23105586169e-07
0.0214444444444,0.405159954688,0.387599915353,0.387599921912,6.55944060179e-09,26.8078206846,26.8078205775,1.07082147593e-07
0.0220555555556,0.415437383863,0.404068675688,0.404068682267,6.57868604037e-09,27.0818171935,27.0818170908,1.02700500548e-07
0.0226666666667,0.42562246834,0.420689836727,0.42068984331,6.58318810576e-09,27.306351766,27.3063516809,8.50624779503e-08
0.0232777777778,0.435714362647,0.437432769118,0.43743277569,6.57232085421e-09,27.4801529144,27.4801529162,1.80789072601e-09
0.0238888888889,0.445712312629,0.454266152248,0.454266158794,6.54589232818e-09,27.6022315993,27.6022316043,5.05017183627e-09
0.0245,0.455615653211,0.47115814985,0.471158156354,6.50412340653e-09,27.6718906043,27.6718904603,1.440105315e-07
0.0251111111111,0.465423806067,0.488076590508,0.488076596956,6.44719716503e-09,27.6887311682,27.6887309409,2.27301082845e-07
0.0257222222222,0.475136277176,0.504989151357,0.504989157733,6.3752062518e-09,27.6526567871,27.6526568169,2.97914901637e-08
0.0263333333333,0.484752654305,0.52186354322,0.521863549508,6.28844565309e-09,27.5638741354,27.5638740858,4.95779772791e-08
0.0269444444444,0.494272604416,0.538667695429,0.538667701616,6.18748319248e-09,27.4228910937,27.4228909473,1.46366875953e-07
0.0275555555556,0.503695871021,0.555369938565,0.555369944638,6.07352856896e-09,27.2305119096,27.2305119827,7.30609599486e-08
0.0281666666667,0.51302227149,0.571939183373,0.57193918932,5.94651072827e-09,26.9878295565,26.9878295328,2.37100010736e-08
0.0287777777778,0.522251694325,0.588345094182,0.58834509999,5.80790571192e-09,26.6962153905,26.6962151876,2.02889278711e-07
0.0293888888889,0.531384096412,0.604558255209,0.604558260868,5.65852698031e-09,26.3573062446,26.3573060989,1.45681326558e-07
0.03,0.540419500271,0.620550328239,0.620550333738,5.49921463922e-09,25.9729891282,25.9729889305,1.97699804971e-07
0.0306111111111,0.549357991286,0.636294200267,0.636294205599,5.33126154334e-09,25.5453837327,25.5453835856,1.47034842968e-07
0.0312222222222,0.558199714965,0.651764119847,0.651764125003,5.15587372796e-09,25.0768229701,25.0768228198,1.50351244343e-07
