maturity,theta,forward,time_derivative,phase_generator,residual
0.12,0.227603530526,0.0115808461875,5.91197474296e-05,5.9119782891e-05,-3.5461466615e-11
0.12,0.237621662983,0.0121098698755,8.56884381335e-05,8.56884883362e-05,-5.02027432212e-11
0.12,0.24763979544,0.0126414671037,0.000122564947364,0.000122565016976,-6.96119513215e-11
0.12,0.257657927897,0.0131757642024,0.000172983337946,0.000172983432916,-9.49707931654e-11
0.12,0.267676060354,0.0137128898779,0.000240862732193,0.000240862854298,-1.22104598026e-10
0.12,0.277694192811,0.0142529753449,0.000330818188994,0.000330818342051,-1.53057403828e-10
0.12,0.287712325268,0.0147961544633,0.000448109495548,0.000448109685299,-1.89750216841e-10
0.12,0.297730457725,0.0153425638804,0.000598504898566,0.000598505129332,-2.30766678878e-10
0.12,0.307748590181,0.0158923431784,0.000788037462249,0.000788037735023,-2.7277367073e-10
0.12,0.317766722638,0.0164456350284,0.00102263615003,0.00102263646158,-3.11554952843e-10
0.12,0.327784855095,0.0170025853497,0.00130762292227,0.0013076232672,-3.44931017776e-10
0.12,0.337802987552,0.0175633434769,0.00164708174286,0.00164708211151,-3.68651823911e-10
0.12,0.347821120009,0.0181280623329,0.00204312526224,0.00204312564204,-3.79805761928e-10
0.12,0.357839252466,0.0186968986103,0.0024951088756,0.00249510924626,-3.70663356345e-10
0.12,0.367857384923,0.0192700129608,0.00299886730219,0.00299886763867,-3.36476694163e-10
0.12,0.37787551738,0.0198475701924,0.00354607189029,0.00354607216641,-2.76126848383e-10
0.12,0.387893649837,0.0204297394763,0.0041238225122,0.00412382270205,-1.89848076496e-10
0.12,0.397911782294,0.0210166945635,0.00471459069957,0.00471459076996,-7.03879489417e-11
0.12,0.407929914751,0.0216086140109,0.00529661565029,0.0052966155797,7.0590534286e-11
0.12,0.417948047208,0.0222056814195,0.00584481882433,0.00584481860076,2.23568957618e-10
0.12,0.427966179664,0.022808085683,0.00633224612607,0.00633224574179,3.84282862476e-10
0.12,0.437984312121,0.0234160212496,0.00673197348588,0.00673197294987,5.36001620692e-10
0.12,0.448002444578,0.0240296883965,0.00701933099742,0.00701933033695,6.60472787573e-10
0.12,0.458020577035,0.0246492935189,0.00717422567797,0.00717422491536,7.62608880558e-10
0.12,0.468038709492,0.0252750494334,0.00718328868466,0.00718328787241,8.12245038589e-10
0.12,0.478056841949,0.0259071756975,0.00704155408861,0.00704155328316,8.05453360259e-10
0.12,0.488074974406,0.0265458989466,0.00675340355359,0.00675340280773,7.45854346167e-10
0.12,0.498093106863,0.0271914532482,0.00633258740688,0.00633258677009,6.36796960649e-10
0.12,0.50811123932,0.0278440804762,0.00580125070402,0.00580125019026,5.13755382854e-10
0.12,0.518129371777,0.0285040307055,0.00518803596861,0.00518803562014,3.48469003653e-10
0.12,0.528147504234,0.0291715626291,0.00452547752394,0.00452547736759,1.56349043087e-10
0.12,0.53816563669,0.0298469439978,0.00384701784911,0.00384701784111,7.99070098284e-12
0.12,0.548183769147,0.0305304520865,0.00318403953188,0.00318403968863,-1.5675337417e-10
0.12,0.558201901604,0.0312223741863,0.00256330201169,0.00256330225683,-2.4514325769e-10
0.12,0.568220034061,0.0319230081263,0.00200509929061,0.00200509962179,-3.31179509164e-10
0.12,0.578238166518,0.0326326628259,0.00152232723472,0.0015223275989,-3.64177392669e-10
0.12,0.588256298975,0.0333516588807,0.00112049347821,0.00112049384577,-3.67557581159e-10
0.12,0.598274431432,0.0340803291834,0.000798551840729,0.000798552177816,-3.37086793591e-10
0.12,0.608292563889,0.034819019584,0.000550327061803,0.000550327380193,-3.18389898864e-10
0.12,0.618310696346,0.0355680895896,0.0003662353577,0.000366235607445,-2.49745079435e-10
0.12,0.628328828803,0.0363279131098,0.000235008162791,0.000235008369087,-2.06296158108e-10
0.12,0.63834696126,0.0370988792486,0.000145181773339,0.00014518191602,-1.42680375327e-10
0.12,0.648365093716,0.0378813931477,8.62044939945e-05,8.62046051484e-05,-1.11153926341e-10
0.12,0.658383226173,0.038675876885,4.91105473996e-05,4.91106073766e-05,-5.99770389603e-11
0.12,0.66840135863,0.0394827704322,2.67940461485e-05,2.67941118475e-05,-6.56990230448e-11
0.12,0.678419491087,0.0403025326764,1.39721113845e-05,1.39721294527e-05,-1.80681771628e-11
0.12,0.688437623544,0.0411356425112,6.94918643462e-06,6.94919149567e-06,-5.06104641702e-12
0.12,0.698455756001,0.041982600002,3.28915762682e-06,3.28917471626e-06,-1.70894437924e-11
0.12,0.708473888458,0.0428439276322,1.47803019823e-06,1.47804065467e-06,-1.04564347632e-11
0.12,0.718492020915,0.0437201716373,6.28974233807e-07,6.28979313489e-07,-5.07968211765e-12
0.12,0.728510153372,0.0446119034331,2.52793272426e-07,2.52788281068e-07,4.9913578045e-12
0.12,0.738528285829,0.0455197211468,9.56835999322e-08,9.56762264289e-08,7.37350328364e-12
0.12,0.748546418286,0.0464442512598,3.40034944646e-08,3.39992155718e-08,4.27889277829e-12
0.12,0.758564550743,0.0473861503717,1.13084541731e-08,1.13164119033e-08,-7.95773017793e-12
0.12,0.768582683199,0.0483461070955,3.50733331267e-09,3.51623722825e-09,-8.90391558227e-12
0.12,0.778600815656,0.049324844097,1.01071928604e-09,1.007397265e-09,3.32202104367e-12
0.12,0.788618948113,0.0503231202898,2.69576028167e-10,2.80313863267e-10,-1.07378351002e-11
0.12,0.79863708057,0.051341733201,6.61276589042e-11,7.61680818244e-11,-1.00404229202e-11
0.12,0.808655213027,0.0523815215234,1.48492329544e-11,3.02156778331e-11,-1.53664448787e-11
0.12,0.818673345484,0.053443367871,2.98372437868e-12,7.76492086775e-12,-4.78119648907e-12
0.12,0.828691477941,0.0545282017572,6.24500451352e-13,-2.26711574861e-12,2.89161619996e-12
0.12,0.838709610398,0.0556370028172,6.93889390391e-14,-1.32026681254e-12,1.38965575158e-12
0.12,0.848727742855,0.0567708042987,0,1.16206369614e-11,-1.16206369614e-11
0.12,0.858745875312,0.0579306968464,0,8.93283472365e-12,-8.93283472365e-12
0.12,0.868764007769,0.0591178326101,0,-1.31595934236e-11,1.31595934236e-11
0.12,0.878782140225,0.0603334297102,0,1.07957540477e-11,-1.07957540477e-11
0.12,0.888800272682,0.0615787770949,0,2.82114327559e-12,-2.82114327559e-12
0.12,0.898818405139,0.062855239833,0,1.7072256369e-11,-1.7072256369e-11
0.12,0.908836537596,0.0641642648861,0,5.56350863816e-12,-5.56350863816e-12
0.12,0.918854670053,0.0655073874131,0,1.2422695251e-12,-1.2422695251e-12
0.12,0.92887280251,0.0668862376641,0,1.17442416469e-11,-1.17442416469e-11
0.12,0.938890934967,0.0683025485305,0,-1.38811882995e-11,1.38811882995e-11
0.12,0.948909067424,0.0697581638243,0,4.99571022571e-12,-4.99571022571e-12
0.12,0.958927199881,0.0712550473698,0,-1.9447490493e-12,1.9447490493e-12
0.12,0.968945332338,0.0727952930038,0,2.30928991207e-12,-2.30928991207e-12
0.12,0.978963464795,0.074381135591,0,6.50045425474e-12,-6.50045425474e-12
0.12,0.988981597252,0.0760149631763,0,6.10066142569e-12,-6.10066142569e-12
0.12,0.998999729708,0.0776993304159,0,5.2185966052e-12,-5.2185966052e-12
0.12,1.00901786217,0.079436973443,0,1.09077317491e-11,-1.09077317491e-11
0.12,1.01903599462,0.0812308263549,0,-9.34519822637e-13,9.34519822637e-13
0.12,1.02905412708,0.0830840395274,0,-8.1241090244e-13,8.1241090244e-13
0.12,1.03907225954,0.085,0,-3.09072927841e-12,3.09072927841e-12
0.218888888889,-0.463647609001,-0.025,5.29401265856e-17,5.15112492347e-17,1.4288773509e-18
0.218888888889,-0.453629476544,-0.0243769666932,1.2768698823e-16,1.24154340677e-16,3.5326475528e-18
0.218888888889,-0.443611344087,-0.0237599900872,3.01858337521e-16,2.93297294935e-16,8.56104258569e-18
0.218888888889,-0.43359321163,-0.0231488602184,6.9987788767e-16,6.79528807977e-16,2.03490796925e-17
0.218888888889,-0.423575079173,-0.0225433734096,1.59242853446e-15,1.54495913903e-15,4.74693954326e-17
0.218888888889,-0.413556946716,-0.0219433319732,3.55763274853e-15,3.44889471306e-15,1.08738035463e-16
0.218888888889,-0.403538814259,-0.0213485439287,-4.36488560907e-14,8.99544726721e-12,-9.0390961233e-12
0.218888888889,-0.393520681802,-0.0207588227338,1.6845390535e-14,1.63039467156e-14,5.4144381949e-16
0.218888888889,-0.383502549346,-0.0201739870282,-1.44145009687e-14,-9.02070148652e-12,9.00628698556e-12
0.218888888889,-0.373484416889,-0.0195938603902,2.50908155892e-14,-9.0091628512e-12,9.03425366679e-12
0.218888888889,-0.363466284432,-0.0190182711034,6.66673824499e-15,-8.95446013108e-12,8.96112686932e-12
0.218888888889,-0.353448151975,-0.0184470519352,-2.75221315142e-14,9.43018183828e-12,-9.4577039698e-12
0.218888888889,-0.343430019518,-0.0178800399241,-7.0186779316e-16,9.74822532271e-12,-9.7489271905e-12
0.218888888889,-0.333411887061,-0.0173170761779,3.98862373499e-14,1.03471373116e-11,-1.03072510743e-11
0.218888888889,-0.323393754604,-0.0167580056787,3.41319761602e-14,1.14774007091e-11,-1.14432687329e-11
0.218888888889,-0.313375622147,-0.0162026770985,1.01917184078e-13,-4.69568047621e-12,4.79759766028e-12
0.218888888889,-0.30335748969,-0.0156509426205,1.64725327732e-13,-9.88989347078e-12,1.00546187985e-11
0.218888888889,-0.293339357233,-0.0151026577694,3.04458051866e-13,-2.64846341775e-12,2.95292146962e-12
0.218888888889,-0.283321224776,-0.0145576812471,6.05546845611e-13,1.04458539412e-11,-9.84030709554e-12
0.218888888889,-0.273303092319,-0.0140158747764,1.14586726039e-12,-2.53525399677e-12,3.68112125716e-12
0.218888888889,-0.263284959863,-0.0134771029497,2.09259419478e-12,1.16225920107e-11,-9.52999781595e-12
0.218888888889,-0.253266827406,-0.0129412330837,3.86949844187e-12,2.44600289988e-12,1.42349554199e-12
0.218888888889,-0.243248694949,-0.0124081350797,6.94463250194e-12,9.69085943154e-13,5.97554655878e-12
0.218888888889,-0.233230562492,-0.0118776812888,1.23297146358e-11,7.30754449461e-12,5.02217014115e-12
0.218888888889,-0.223212430035,-0.0113497463819,2.17514751145e-11,2.68116220668e-11,-5.06014695233e-12
0.218888888889,-0.213194297578,-0.0108242072238,3.7868069301e-11,4.82482604381e-11,-1.03801911372e-11
0.218888888889,-0.203176165121,-0.0103009427524,6.52742010594e-11,5.67888661432e-11,8.48533491621e-12
0.218888888889,-0.193158032664,-0.00977983386053,1.11349583653e-10,1.10499336298e-10,8.50247355329e-13
0.218888888889,-0.183139900207,-0.00926076328247,1.88009993253e-10,1.87403312893e-10,6.0668036079e-13
0.218888888889,-0.17312176775,-0.00874361548341,3.14362407941e-10,3.0515699504e-10,9.20541290129e-12
